episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.24188918788224,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,0.0995
2,144.9536284696676,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,0.09900250000000001
3,143.6138737774075,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,0.0985074875
4,120.2525651770437,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,0.09801495006250001
5,139.3651978195697,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,,,,500,0.09752487531218751
6,149.51851420392615,1797810.016258606,3595620.032517212,14174324.767539322,11.175881935709802,19613.84403284298,0,0,100,,,,,600,0.09703725093562657
7,150.32115244312507,1804613.7909266718,3609227.5818533436,14097399.66384964,11.282128402214816,18490.24319107574,0,0,100,,,,,700,0.09655206468094843
8,147.17592948473973,1778145.11495598,3556290.22991196,14304626.72545955,10.806313377476359,21502.23835458848,0,0,100,,,,,800,0.09606930435754368
9,139.80795721697515,1714352.077488692,3428704.154977384,14760069.678067777,9.806294916070863,29534.120671723802,0,0,100,,,,,900,0.09558895783575597
10,167.3472549232722,1959793.2890627228,3919586.5781254456,13958034.421180574,14.994778798317888,17710.360261754267,0,0,100,,4.189265727996826,-0.7858984470367432,0.29569315910339355,1000,0.09511101304657718
11,171.32306239331675,1994633.7264651146,3989267.4529302293,14270002.00507642,27.303305613930178,25000.524797137892,0,0,100,0.036489006131887436,2.538898468017578,-0.2633163034915924,0.6265254616737366,1100,0.09463545798134429
12,133.16968710226965,1659285.8893136918,3318571.7786273835,15970736.711508535,9.010147454308242,82659.21080608993,0,0,100,,1.4072860479354858,0.1816396415233612,0.9451470375061035,1200,0.09416228069143756
13,141.58477759357973,1729760.9752485573,3459521.9504971146,15110491.185645401,10.006035625178347,35936.32179157731,0,0,100,-0.20840884745121002,0.8734526634216309,0.5713744163513184,0.9080239534378052,1300,0.09369146928798038
14,135.9468817073623,1679395.5333782819,3358791.0667565637,15268967.934942015,9.274409159577573,39975.80099153639,0,0,100,,0.7105908393859863,1.000887393951416,0.980456531047821,1400,0.09322301194154048
15,130.51215429791634,1631225.3488849553,3262450.6977699106,15471604.63360997,8.64194576863854,46786.644794400985,0,0,100,-0.3437035381793976,0.9582233428955078,1.0931346416473389,0.9459168910980225,1500,0.09275689688183278
16,115.15479849871724,1743519.622130787,3487039.244261574,16009559.991374796,11.012025319867243,77793.20429938872,0,27,100,,1.3604069948196411,1.310170292854309,1.0177987813949585,1600,0.09229311239742362
17,120.60145274378311,1702640.3825110018,3405280.7650220036,15108104.483480737,9.980226971084479,35988.80399130081,0,18,100,-0.42838791012763977,0.8955115079879761,1.1227045059204102,0.7884685397148132,1700,0.0918316468354365
18,102.95020588911714,1825793.3985656074,3651586.7971312148,15046322.767408542,12.974574765406482,34932.85627792268,0,49,100,,0.79929518699646,1.0523391962051392,0.8402419686317444,1800,0.09137248860125932
19,96.68630437571244,1866383.317049244,3732766.634098488,15603334.344293723,14.979421036123686,53280.49885940821,0,59,100,-0.41342851519584656,0.803657054901123,0.8894919753074646,0.7371814250946045,1900,0.09091562615825302
20,115.01998341696742,2044443.4850657952,4088886.9701315905,15356180.698456531,24.618451491679558,43192.32482847528,0,60,100,,0.8503788709640503,0.8375155329704285,0.7669423818588257,2000,0.09046104802746176
21,114.47895497440716,2101148.1307890387,4202296.261578077,15909404.150093682,29.430784857700704,63237.9045874848,0,66,100,-0.3366222381591797,0.6403462886810303,0.6848251819610596,0.6909664273262024,2100,0.09000874278732444
22,123.56912791901978,2173099.328144222,4346198.656288444,15513323.26405135,34.112592008161826,47535.428819609435,0,65,100,,0.8574320077896118,0.615455687046051,0.703963577747345,2200,0.08955869907338782
23,125.66128734673413,2300550.782914197,4601101.565828394,16048340.90671123,41.54886867115618,70260.7672340923,0,76,100,-0.3387925326824188,0.6420237421989441,0.5578880310058594,0.6908833980560303,2300,0.08911090557802087
24,131.14972779032533,2309563.503818701,4619127.007637402,15557202.107925242,44.35387976408209,49342.447348716974,0,72,100,,0.757860541343689,0.5451128482818604,0.7083274126052856,2400,0.08866535105013076
25,132.37221703984622,2320168.348380642,4640336.696761284,15483230.770703502,45.038456698111865,46584.45513400466,0,72,100,-0.38052600622177124,0.6329700946807861,0.5558697581291199,0.7549787759780884,2500,0.08822202429488012
26,162.64724977250495,2656081.053566118,5312162.107132236,16079964.134439318,64.07896200136697,76631.80340084042,0,77,100,,0.6989130973815918,0.5383493900299072,0.7302091121673584,2600,0.08778091417340572
27,164.01264906647438,2659448.807969042,5318897.615938084,16097629.41353624,64.16210527949227,77669.97715728694,0,76,100,-0.5161151885986328,0.648293137550354,0.5865917205810547,0.7031543254852295,2700,0.0873420096025387
28,166.8336391548364,2728903.953336659,5457807.906673318,15778180.076669985,70.12629265743907,60477.888697169226,0,81,100,,0.7058064937591553,0.6319530010223389,0.7707476019859314,2800,0.086905299554526
29,167.97771828474424,2720742.4801476393,5441484.960295279,15789910.024582572,70.52774052385286,63539.870631619284,0,79,100,-0.7215682864189148,0.6735713481903076,0.729297935962677,0.7962104082107544,2900,0.08647077305675337
30,176.83181776861866,2838179.1346239652,5676358.2692479305,15472934.078404177,82.33048518151529,52179.94058558055,0,83,100,,0.6676808595657349,0.7576674222946167,0.7606767416000366,3000,0.0860384191914696
