episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,601.5121552195008,6077262.57632606,12154525.15265212,15268918.269979753,4575.528933129471,40551.412342007156,0,0,100,,,,,100,0.0995
2,594.5440384803493,5997719.794160643,11995439.588321285,14473560.056879217,4124.3460596289915,23485.385686188256,0,0,100,,,,,200,0.09900250000000001
3,594.2654796723325,6004179.730904898,12008359.461809795,15030792.429495215,4133.4019435526925,34354.882525878056,0,0,100,,,,,300,0.0985074875
4,560.7565992804439,5807197.707649079,11614395.415298158,13873602.779183876,3158.5493168211647,15547.147624690228,0,15,100,,,,,400,0.09801495006250001
5,590.39715756231,5955781.974314222,11911563.948628444,14355822.68291601,3868.989949654388,21332.745424342585,0,0,100,,,,,500,0.09752487531218751
6,600.4932388736132,6057102.884909942,12114205.769819884,14628781.627912207,4470.352774283921,25848.255629324525,0,0,100,,,,,600,0.09703725093562657
7,601.3722871410664,6064602.640650434,12129205.281300869,14557863.88807113,4512.851360885927,25023.87758573747,0,0,100,,,,,700,0.09655206468094843
8,597.8518691650704,6034013.624387276,12068027.248774553,14743734.074603856,4310.364641115111,28555.571056109617,0,0,100,,,,,800,0.09606930435754368
9,590.337909226177,5965860.085909511,11931720.171819022,15040233.002366805,3922.517966428345,35484.3755732136,0,0,100,,,,,900,0.09558895783575597
10,603.6854585237573,6093754.262935635,12187508.52587127,14967084.58959088,4723.991558400337,33019.10341182339,0,0,100,,66.0431137084961,-0.7883367538452148,0.2938562035560608,1000,0.09511101304657718
11,598.3057074650203,6049386.241097697,12098772.482195394,15780843.759140216,4391.945613284155,57413.72243105358,0,0,100,0.049301713705062866,56.96056365966797,-0.2561511993408203,0.6521185040473938,1100,0.09463545798134429
12,587.4649264826608,5942322.207575525,11884644.41515105,15594301.503159594,3787.166708967934,51530.50364370605,0,0,100,,47.28117370605469,0.19307047128677368,1.0981082916259766,1200,0.09416228069143756
13,595.2381503383777,6014404.03561582,12028808.07123164,15422924.503626509,4178.147921591849,44446.14254791479,0,0,100,-0.22358053922653198,43.27199172973633,0.5778860449790955,1.1947697401046753,1300,0.09369146928798038
