episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.7828561417714,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,0.0995
2,145.5055282593136,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,0.09900250000000001
3,144.18311166990264,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,0.0985074875
4,120.78993732468531,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,0.09801495006250001
5,139.89672451209802,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,,,,500,0.09752487531218751
6,150.03678770476552,1797810.016258606,3595620.032517212,14174324.767539322,11.175881935709802,19613.84403284298,0,0,100,,,,,600,0.09703725093562657
7,150.86688133306254,1804613.7909266718,3609227.5818533436,14097399.66384964,11.282128402214816,18490.24319107574,0,0,100,,,,,700,0.09655206468094843
8,147.745316451042,1778145.11495598,3556290.22991196,14304626.72545955,10.806313377476359,21502.23835458848,0,0,100,,,,,800,0.09606930435754368
9,140.30591848587665,1714352.077488692,3428704.154977384,14760069.678067777,9.806294916070863,29534.120671723802,0,0,100,,,,,900,0.09558895783575597
10,167.92327977289577,1959793.2890627228,3919586.5781254456,13958034.421180574,14.994778798317888,17710.360261754267,0,0,100,,4.214116096496582,-0.7858984470367432,0.29569315910339355,1000,0.09511101304657718
11,171.40121729946475,1994633.7264651146,3989267.4529302293,14270002.00507642,27.303305613930178,25000.524797137892,0,0,100,0.03648917376995087,2.555922269821167,-0.263316810131073,0.6278253197669983,1100,0.09463545798134429
12,133.19938229441968,1659286.2478655712,3318572.4957311423,15970722.317508226,9.010152297189626,82658.13940222737,0,0,100,,1.4169096946716309,0.181651771068573,0.948939859867096,1200,0.09416228069143756
13,141.61065570884162,1729761.7654251265,3459523.530850253,15110485.293148827,10.006047292081433,35936.155314745236,0,0,100,-0.208563432097435,0.8749881982803345,0.5714513063430786,0.9118671417236328,1300,0.09369146928798038
14,135.97395790414043,1679386.239619803,3358772.479239606,15269101.989195772,9.274280920748646,39979.756025423754,0,0,100,,0.7082486748695374,1.0019316673278809,0.9859256148338318,1400,0.09322301194154048
15,130.54457043674216,1631214.6328257,3262429.2656514,15471673.299746232,8.641813583624748,46789.114242602765,0,0,100,-0.34500259160995483,0.9560542106628418,1.096136212348938,0.951140820980072,1500,0.09275689688183278
16,115.197247342184,1743387.6185121918,3486775.2370243836,16006487.074523075,11.009500419596996,77530.155660518,0,27,100,,1.3606942892074585,1.3152886629104614,1.024364709854126,1600,0.09229311239742362
17,120.64909204533929,1702706.5228080982,3405413.0456161965,15107435.6691974,9.981553659868782,35972.81450190532,0,18,100,-0.4308066666126251,0.8964106440544128,1.128435730934143,0.7938305735588074,1700,0.0918316468354365
18,103.04062489667619,1825921.8245679045,3651843.649135809,15045388.263776181,12.97628205438105,34911.33501193685,0,49,100,,0.8006976842880249,1.0582709312438965,0.8453258872032166,1800,0.09137248860125932
19,96.78683498029508,1866354.665364899,3732709.330729798,15602699.071130874,14.977382352533319,53262.44848769239,0,59,100,-0.4164748787879944,0.8040663003921509,0.895546019077301,0.741106390953064,1900,0.09091562615825302
20,115.17528642539217,2044475.0531931857,4088950.1063863714,15354816.034177592,24.60846719005968,43157.2126837072,0,60,100,,0.8510785102844238,0.8436697721481323,0.771093487739563,2000,0.09046104802746176
21,114.60607101014865,2100631.1527121533,4201262.305424307,15907245.727283709,29.394019380896616,63139.24117829973,0,66,100,-0.339316725730896,0.6397926807403564,0.690754234790802,0.6937500238418579,2100,0.09000874278732444
22,123.79206888169713,2173147.501532953,4346295.003065906,15510105.09650078,34.10237164545715,47429.727925543586,0,65,100,,0.8571460843086243,0.6207464933395386,0.7066598534584045,2200,0.08955869907338782
23,125.82333231033058,2299770.8339940305,4599541.667988061,16045822.3750222,41.50083941621239,70114.00812502188,0,76,100,-0.3405943810939789,0.6407264471054077,0.5621190667152405,0.6937525272369385,2300,0.08911090557802087
24,131.36236394320545,2309154.237296978,4618308.474593956,15552604.470601568,44.31913206396592,49164.157578524944,0,72,100,,0.756318211555481,0.5486950874328613,0.7111074924468994,2400,0.08866535105013076
25,132.61482795799967,2320187.6711034994,4640375.342206999,15479292.970467012,45.026099937782945,46445.1533138287,0,72,100,-0.3810417652130127,0.6323828101158142,0.5584117770195007,0.7577003240585327,2500,0.08822202429488012
26,162.95092922175036,2655297.960322263,5310595.920644526,16079666.286727095,64.02561301188898,76557.11868322598,0,77,100,,0.6978012323379517,0.5402607321739197,0.7325477600097656,2600,0.08778091417340572
27,164.29592209692208,2658756.1149760066,5317512.229952013,16097244.001283664,64.11576118423332,77594.14053352507,0,76,100,-0.5163601636886597,0.6477031707763672,0.5878086686134338,0.706582248210907,2700,0.0873420096025387
28,167.09744912397753,2728068.2476583337,5456136.4953166675,15779056.942721352,70.04098024801091,60456.9165652759,0,81,100,,0.7052672505378723,0.6329386234283447,0.7742904424667358,2800,0.086905299554526
29,168.2194316246094,2719818.0617061765,5439636.123412353,15790711.321814485,70.43780444340842,63501.7473994448,0,79,100,-0.7225674390792847,0.672919750213623,0.7305201888084412,0.7999925017356873,2900,0.08647077305675337
30,177.15308920329082,2837049.7794503164,5674099.558900633,15475595.844022663,82.16566407100638,52182.13382691997,0,83,100,,0.6671002507209778,0.7589113116264343,0.7639178037643433,3000,0.0860384191914696
31,171.78511178747942,2770286.4604827757,5540572.920965551,15655202.084056733,75.47870497837384,58343.02993754324,0,81,100,-0.9149474501609802,0.5103123188018799,0.8507696390151978,0.8274835348129272,3100,0.08560822709551225
32,179.53557753640726,2864425.9192214184,5728851.838442837,15110189.941881152,90.4311042631565,40904.804288091495,0,84,100,,0.5807487964630127,0.9411896467208862,0.8619312644004822,3200,0.08518018596003468
33,188.40763273549103,2958615.2928024656,5917230.585604931,15317925.689450016,94.40219416251958,50369.95874252876,0,85,100,-1.0220731496810913,0.6791456937789917,0.9733767509460449,0.8938990831375122,3300,0.08475428503023451
34,197.19688834853758,3056903.8849189933,6113807.769837987,15130679.237911182,105.93618822401521,47100.94942795829,0,87,100,,0.7236238718032837,0.9884899258613586,0.9150866270065308,3400,0.08433051360508334
35,194.72252860123388,3024445.062731571,6048890.125463142,15122148.429100428,103.24623099841615,45515.02519920108,0,86,100,-1.063234806060791,0.4965965747833252,0.9803097248077393,0.9187049865722656,3500,0.08390886103705793
36,195.66682226619244,3041313.3462380045,6082626.692476009,15016412.839114362,106.93491468424844,42530.5808350533,0,87,100,,0.6118859648704529,0.9411343336105347,0.9213912487030029,3600,0.08348931673187264
37,196.75132673057624,3059079.187333542,6118158.374667084,14878609.753680969,112.35529768584864,39774.99686196903,0,88,100,-1.0541901588439941,0.5604708194732666,1.0471210479736328,1.0638198852539062,3700,0.08307187014821328
38,209.32795792978328,3184756.257898095,6369512.51579619,14813294.547654686,123.0160845545117,39871.27990893693,0,89,100,,0.595255434513092,1.0520073175430298,1.0835716724395752,3800,0.08265651079747222
39,200.64280455144484,3104063.158500701,6208126.317001402,14833982.240264524,116.0666415072729,38258.57190344841,0,89,100,-1.0287503004074097,0.5988990068435669,0.9184068441390991,0.9658192992210388,3900,0.08224322824348486
40,212.13306959818277,3220185.489389588,6440370.978779176,14810198.329853525,125.86877836936769,40522.49612337492,0,90,100,,0.6003345251083374,0.898983359336853,0.9336962103843689,4000,0.08183201210226744
41,211.83703782204861,3214705.4272734914,6429410.854546983,14573898.362078149,130.59067014734757,32950.82724323725,0,90,100,-1.0559642314910889,0.59894859790802,0.8997563123703003,0.9095945954322815,4100,0.0814228520417561
42,213.4038442514966,3241582.167636013,6483164.335272026,14827233.042505182,125.55121489000558,40141.020948370424,0,91,100,,0.5287199020385742,1.028774619102478,1.016077995300293,4200,0.08101573778154732
43,218.34125917186157,3276331.5387073215,6552663.077414643,14671510.294782346,133.5764021196355,37782.798655742845,0,90,100,-1.3512942790985107,0.5441195368766785,1.1134471893310547,1.0888229608535767,4300,0.08061065909263958
44,212.74452581846361,3237516.2330548735,6475032.466109747,15002688.082725298,120.27011290401163,45289.35272483434,0,91,100,,0.4473601281642914,1.0902934074401855,1.057292103767395,4400,0.08020760579717638
45,216.64597274662324,3271146.8192931963,6542293.638586393,14770455.012977231,128.6022037882764,38342.8187626462,0,91,100,-1.3400564193725586,0.6070094108581543,1.131246566772461,1.1281511783599854,4500,0.0798065677681905
46,209.99131670977116,3222540.3365603914,6445080.673120783,15104790.098929059,114.51574724305522,44660.882454276994,0,92,100,,0.4997706711292267,1.0696120262145996,1.114545226097107,4600,0.07940753492934956
47,213.47985607841804,3254259.5760446005,6508519.152089201,15056079.678052245,119.44017505581658,46897.79085211511,0,92,100,-1.29799222946167,0.5198423862457275,1.0278294086456299,1.099266767501831,4700,0.07901049725470281
48,206.34584927495655,3198989.749616742,6397979.499233484,15194746.099058324,110.39105829871407,45852.22026641252,0,93,100,,0.5505074262619019,1.0380640029907227,1.1290644407272339,4800,0.0786154447684293
