method,sample_count,mean_constraint_violation_count,std_constraint_violation_count,median_constraint_violation_count,min_constraint_violation_count,max_constraint_violation_count,total_constraint_violation_count,mean_trajectory_length,constraint_count_per_100_steps
BalancedLinkPolicy,5,3.4,3.00665927567,2,1,9,17,100,3.4
DDPG,15,82.3333333333,18.2013430518,87,15,91,1235,100,82.3333333333
GreedyRatePolicy,5,6.8,4.11825205639,7,0,11,34,100,6.8
HorizontalMidpointPolicy,5,2,2.52982212813,1,0,7,10,100,2
MidpointPolicy,5,94,1.54919333848,95,91,95,470,100,94
RandomPolicy,5,0,0,0,0,0,0,100,0
SAC,15,79.4,3.59258495608,79,72,87,1191,100,79.4
StaticRelayPolicy,5,0,0,0,0,0,0,100,0
TD3,15,86.1333333333,4.12903001792,86,79,94,1292,100,86.1333333333
