method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
SAC,eval_0,18,860.209012985,729.751681328,372.125940323,8851443.52219,8713871.23125,4356935.61563,4.34632177384,0,4356935.61563,4.35693561563,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,19,880.756132126,742.521209717,381.480093956,9094980.25147,8775628.39264,4387814.19632,4.3721516306,0,4387814.19632,4.38781419632,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,20,901.300899506,755.305906296,390.850402832,9313330.20843,9038340.67381,4519170.33691,4.50494473005,0,4519170.33691,4.51917033691,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,21,921.824415207,768.112642288,400.249223709,9508641.93367,9376493.20732,4688246.60366,4.67801220366,0,4688246.60366,4.68824660366,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,22,942.316562653,780.946530342,409.696001053,9682970.40468,9710095.31895,4841485.20234,4.83404707272,0,4841485.20234,4.84148520234,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,23,962.78011322,793.802875519,419.199474335,9838118.24664,10003264.8212,4919059.12332,4.90815386822,0,4919059.12332,4.91905912332,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,24,983.222949982,806.675222397,428.74277401,9975535.2747,10245843.483,4987767.63735,4.97433709929,0,4987767.63735,4.98776763735,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,25,1000,819.567276001,438.324276924,10091291.0223,10377801.0386,5045645.51113,4.03189326718,1,5045645.51113,5.04564551113,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,26,1000,832.482918739,447.936609268,10174740.4224,10220400.5584,5087370.21122,4.07948462684,1,5087370.21122,5.08737021122,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,27,1000,845.415973663,457.566017151,10255923.9535,10080281.1983,5040140.59913,4.029035355,1,5040140.59913,5.04014059913,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,28,1000,858.355845451,467.204107285,10334624.4054,9957069.3467,4978534.67335,3.96243046544,1,4978534.67335,4.97853467335,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,29,1000,871.30215168,476.850819588,10410709.9824,9849792.93356,4924896.46678,3.90424029314,1,4924896.46678,4.92489646678,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,30,1000,884.255770683,486.510300636,10484091.8732,9757087.30703,4878543.65352,3.85375833506,1,4878543.65352,4.87854365352,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
