method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
TD3,eval_0,16,862.273110749,789.592193115,225.007044005,7778324.16324,12936581.6696,3889162.08162,3.75565614608,0,3889162.08162,3.88916208162,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,17,883.853710616,808.560110745,216.375948468,7905476.45534,14373940.7611,3952738.22767,2.79857140748,1,3952738.22767,3.95273822767,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,18,905.621326888,828.043217358,209.551038781,8031321.96749,15210087.5409,4015660.98375,3.85222186616,0,4015660.98375,4.01566098375,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,19,927.389320566,847.892887542,203.881378754,8149656.18512,15571478.0447,4074828.09256,2.90938907519,1,4074828.09256,4.07482809256,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,20,949.07437153,867.934593627,198.581514939,8254780.97412,15654001.5051,4127390.48706,3.96365194014,0,4127390.48706,4.12739048706,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,21,970.654787256,888.027273604,193.052518948,8343610.06745,15588670.918,4171805.03372,4.01143916892,0,4171805.03372,4.17180503372,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,22,992.130855753,908.106335113,187.085136994,8416506.7723,15445237.3858,4208253.38615,4.05197306775,0,4208253.38615,4.20825338615,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,23,1000,928.158110091,180.726919755,8441085.82086,15368050.7252,4220542.91043,3.06607428177,1,4220542.91043,4.22054291043,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,24,1000,948.195650527,174.282528504,8443104.00569,15326781.9329,4221552.00285,3.06775370844,1,4221552.00285,4.22155200285,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,25,1000,968.214853713,167.823577984,8444905.03161,15262326.4438,4222452.51581,3.06966893263,1,4222452.51581,4.22245251581,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,26,1000,988.208952376,161.315123662,8446144.1798,15178786.8895,4223072.0899,3.07158188191,1,4223072.0899,4.2230720899,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,27,1000,1000,154.728827141,8429683.13056,15138448.4384,4214841.56528,3.0635145147,1,4214841.56528,4.21484156528,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,28,1000,1000,148.186358116,8389101.17863,15174878.5006,4194550.58932,3.04156435791,1,4194550.58932,4.19455058932,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,29,1000,1000,141.882634781,8350057.55953,15205830.1306,4175028.77977,3.02050735821,1,4175028.77977,4.17502877977,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,30,1000,1000,135.793241264,8312396.53133,15231779.9645,4156198.26566,3.00025357566,1,4156198.26566,4.15619826566,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,31,1000,1000,129.916824104,8276105.39199,15253076.7137,4138052.696,2.98079060925,1,4138052.696,4.138052696,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,32,1000,1000,124.273825408,8241305.67859,15270014.6255,4120652.83929,2.96217784538,1,4120652.83929,4.12065283929,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,33,1000,1000,118.849269239,8207900.18087,15283014.9306,4103950.09043,2.94435751632,1,4103950.09043,4.10395009043,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,34,1000,1000,113.613011686,8175698.95257,15292485.3816,4087849.47628,2.92722321033,1,4087849.47628,4.08784947628,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,35,1000,1000,108.543991414,8144568.77792,15298753.9732,4072284.38896,2.91069967923,1,4072284.38896,4.07228438896,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,36,1000,1000,103.621698228,8114380.4935,15302099.8198,4057190.24675,2.89471459203,1,4057190.24675,4.05719024675,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,37,1000,1000,98.843333093,8085113.9899,15302758.2323,4042556.99495,2.87925385594,1,4042556.99495,4.04255699495,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,38,1000,1000,94.2335270322,8056916.9033,15300974.5094,4028458.45165,2.86439185187,1,4028458.45165,4.02845845165,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,39,1000,1000,89.7800072111,8029710.79737,15296997.8559,4014855.39869,2.85008359322,1,4014855.39869,4.01485539869,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,40,1000,1000,85.4776175893,8003461.03321,15291058.6073,4001730.51661,2.83630751059,1,4001730.51661,4.00173051661,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
