ablation,average_rate_e2e_mean,average_rate_e2e_std,average_reward_mean,constraint_violation_count_mean,trajectory_length_mean,difference_from_full_td3,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
A0_full_td3,4639009.5518810665,492723.2092310403,370.83441705764926,86.13333333333334,100.0,0.0,4639009.55188,4.63900955188,results/phase4/ablations/ablation_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,5746697.650745547,152852.3968386606,497.1054842043165,74.33333333333333,100.0,1107688.0988644809,5746697.65075,5.74669765075,results/phase4/ablations/ablation_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,4481168.635431664,682054.3307805565,363.7365751007585,83.6,100.0,-157840.91644940246,4481168.63543,4.48116863543,results/phase4/ablations/ablation_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A3_no_energy_penalty,4629019.099484747,491423.9849852609,370.5264648153777,86.26666666666667,100.0,-9990.452396319248,4629019.09948,4.62901909948,results/phase4/ablations/ablation_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A4_fixed_relay_height,4028995.9331707833,600433.785386345,318.14579444099513,73.53333333333333,100.0,-610013.6187102832,4028995.93317,4.02899593317,results/phase4/ablations/ablation_summary.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
