algorithm,training_seed,evaluation_episode,scenario_id,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
DDPG,1,3,eval_3,4134269.1450033505,8268538.290006701,10492922.981711207,392.801727336763,1575.6436586317725,315.33347285375817,0,91,100,4134269.145,4.134269145,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
DDPG,1,4,eval_4,5141144.171472135,10282288.34294427,11250171.514048101,1334.3191709174853,2823.4400157506775,422.96508625715757,0,88,100,5141144.17147,5.14114417147,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
DDPG,2,0,eval_0,4854699.297418174,9709398.594836349,11159746.3826042,1175.926458068642,2543.4529597159726,393.65087673072713,0,87,100,4854699.29742,4.85469929742,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
DDPG,2,1,eval_1,5050653.196299716,10256018.039221767,10608888.32690461,1334.4616332652738,1922.817098701069,413.55947191856325,0,89,100,5050653.1963,5.0506531963,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
DDPG,2,2,eval_2,4669577.814928938,9339155.629857875,11173269.221361628,687.4784550713665,2892.8454677944064,373.61282131895376,0,88,100,4669577.81493,4.66957781493,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
DDPG,2,3,eval_3,4977655.1845771475,9955310.369154295,10973099.15200339,1049.0302762248577,2086.508046918593,403.4144677197543,0,91,100,4977655.18458,4.97765518458,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
DDPG,2,4,eval_4,4344196.987401035,8688393.97480207,11050705.296873456,436.47909228452744,2417.591668275246,341.5450306314029,0,86,100,4344196.9874,4.3441969874,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,0,0,eval_0,4710887.82835531,9616758.809189808,10662077.935807489,1215.2394923313811,2794.7964505465443,390.50483363823867,0,76,100,4710887.82836,4.71088782836,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,0,1,eval_1,5085119.657032462,10170239.314064924,11364404.83809479,1317.5981753718331,3103.9161356167115,426.9122672469051,0,78,100,5085119.65703,5.08511965703,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,0,2,eval_2,5045984.341940883,10091968.683881765,11445840.251119636,1252.4616659672479,3855.2164908484106,428.7348624624292,0,72,100,5045984.34194,5.04598434194,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,0,3,eval_3,4571434.204488711,10066487.466697156,9483729.298635868,1090.9989944884096,1175.0365756005897,372.1478605417321,0,81,100,4571434.20449,4.57143420449,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,0,4,eval_4,5027688.726806254,10055377.453612508,11336123.102867851,1216.4278522162072,3078.700508393426,422.01663588527015,0,77,100,5027688.72681,5.02768872681,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,1,0,eval_0,4814119.57089811,9628239.14179622,11271067.63987874,1226.9404849326957,2833.0903026072892,400.2388503613386,0,76,100,4814119.5709,4.8141195709,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,1,1,eval_1,4486266.039054654,8972532.078109307,10876069.600179655,791.2696002454302,2217.307975613548,358.5686342514401,0,84,100,4486266.03905,4.48626603905,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,1,2,eval_2,4988610.925561776,10117599.945077688,10524659.834482694,1169.9160285661535,2436.248444008352,414.51850580777494,0,82,100,4988610.92556,4.98861092556,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,1,3,eval_3,5128494.777877471,10256989.555754943,11069361.451616483,1311.0497052237895,2268.0828201529143,429.15650754956323,0,81,100,5128494.77788,5.12849477788,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,1,4,eval_4,4881487.406883014,9993842.192683274,10470871.664102418,1065.4161017338133,2270.784580261194,407.19201764972945,0,78,100,4881487.40688,4.88148740688,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,2,0,eval_0,4753130.962738404,9506261.925476808,11200139.971735878,1109.2166449067406,2692.351625425744,392.08010157537416,0,78,100,4753130.96274,4.75313096274,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,2,1,eval_1,5058133.145889819,10261212.73072409,10712286.171639834,1354.0113630470244,2153.6327708382228,420.3131183548075,0,83,100,5058133.14589,5.05813314589,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,2,2,eval_2,4906985.2513088025,9813970.502617605,11336847.443027614,1040.1679048739336,3323.322023746668,407.3853165859551,0,79,100,4906985.25131,4.90698525131,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,2,3,eval_3,4890981.930175442,9781963.860350884,10976667.700261598,937.8661491557647,2115.0237483268193,398.500929192198,0,87,100,4890981.93018,4.89098193018,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,2,4,eval_4,4798301.652832956,9596603.305665912,11203596.05017334,872.826219038679,2703.5723621536645,396.2479608908426,0,79,100,4798301.65283,4.79830165283,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
RandomPolicy,-1,0,eval_0,1796106.1970523107,3592212.3941046214,13895736.950064577,11.122899635705915,15882.200407980914,149.63174862041834,0,0,100,1796106.19705,1.79610619705,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
