algorithm,training_seed,evaluation_episode,scenario_id,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
A1_isotropic_antenna,0,2,eval_2,5737345.630461637,11474691.260923274,13010683.109309342,2846.950811329535,10864.314192196869,555.6265985014608,0,15,100,5737345.63046,5.73734563046,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,0,3,eval_3,5471720.357460025,10943440.71492005,12106266.337405415,2035.7349665024417,4837.721403676055,475.1800700057627,0,69,100,5471720.35746,5.47172035746,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,0,4,eval_4,5748228.191937999,11496456.383875998,12425113.249044957,2889.673157368594,6168.406521994753,528.8405270537269,0,44,100,5748228.19194,5.74822819194,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,1,0,eval_0,5502722.773254274,11923731.81021314,11075281.230391687,3962.258557761194,2577.926386948056,463.21267872166413,0,84,100,5502722.77325,5.50272277325,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,1,1,eval_1,5900701.063728638,11816710.312610032,12000394.29447892,3724.9689573847577,4697.344364931738,498.74415968459044,0,90,100,5900701.06373,5.90070106373,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,1,2,eval_2,5833999.262786494,11677834.441669947,12143688.336877959,3286.2476472045278,6095.289009254044,498.5487972800487,0,83,100,5833999.26279,5.83399926279,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,1,3,eval_3,5411950.558306622,13067374.20644731,10851032.788654938,8690.722394554485,2092.6444519001384,443.5236798866088,0,92,100,5411950.55831,5.41195055831,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,1,4,eval_4,5758639.180731229,11517278.361462457,11958234.342290862,2956.0728006899235,4566.632055443574,490.05890397745236,0,84,100,5758639.18073,5.75863918073,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,2,0,eval_0,5821794.105253314,12429499.404635847,11719773.487884209,5538.859013382515,3684.005630590718,492.4922316338868,0,87,100,5821794.10525,5.82179410525,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,2,1,eval_1,5848705.800746007,11697411.601492014,13641081.255147165,3372.9189895229515,12995.651508128545,490.13406068042787,0,90,100,5848705.80075,5.84870580075,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,2,2,eval_2,5837584.025926151,12759194.682478093,11858698.801149096,7013.587814972766,4644.158216346607,493.284395078365,0,87,100,5837584.02593,5.83758402593,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,2,3,eval_3,5785921.198501331,12305479.667563956,11608443.54279686,5183.786483551548,3264.9887572848743,484.0848037434206,0,92,100,5785921.1985,5.7859211985,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A1_isotropic_antenna,2,4,eval_4,5769887.469584078,12893851.750564104,11638527.18346941,7721.752358247781,3514.6658889684804,487.1222186417772,0,86,100,5769887.46958,5.76988746958,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,0,0,eval_0,3365568.334027327,6731136.668054654,14350199.469317753,188.8899530728563,21086.88814049001,279.356719845681,0,57,100,3365568.33403,3.36556833403,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,0,1,eval_1,5139580.870928022,10323044.03194396,10756194.628070934,1391.288031255606,2077.200932332182,426.0877352704968,0,87,100,5139580.87093,5.13958087093,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
