episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise,algorithm,training_seed,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
15,130.51215429791634,1631225.3488849553,3262450.6977699106,15471604.63360997,8.64194576863854,46786.644794400985,0,0,100,-0.3437035381793976,0.9582233428955078,1.0931346416473389,0.9459168910980225,1500,0.09275689688183278,TD3,0,1631225.34888,1.63122534888,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
16,115.15479849871724,1743519.622130787,3487039.244261574,16009559.991374796,11.012025319867243,77793.20429938872,0,27,100,,1.3604069948196411,1.310170292854309,1.0177987813949585,1600,0.09229311239742362,TD3,0,1743519.62213,1.74351962213,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
17,120.60145274378311,1702640.3825110018,3405280.7650220036,15108104.483480737,9.980226971084479,35988.80399130081,0,18,100,-0.42838791012763977,0.8955115079879761,1.1227045059204102,0.7884685397148132,1700,0.0918316468354365,TD3,0,1702640.38251,1.70264038251,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
18,102.95020588911714,1825793.3985656074,3651586.7971312148,15046322.767408542,12.974574765406482,34932.85627792268,0,49,100,,0.79929518699646,1.0523391962051392,0.8402419686317444,1800,0.09137248860125932,TD3,0,1825793.39857,1.82579339857,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
19,96.68630437571244,1866383.317049244,3732766.634098488,15603334.344293723,14.979421036123686,53280.49885940821,0,59,100,-0.41342851519584656,0.803657054901123,0.8894919753074646,0.7371814250946045,1900,0.09091562615825302,TD3,0,1866383.31705,1.86638331705,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
20,115.01998341696742,2044443.4850657952,4088886.9701315905,15356180.698456531,24.618451491679558,43192.32482847528,0,60,100,,0.8503788709640503,0.8375155329704285,0.7669423818588257,2000,0.09046104802746176,TD3,0,2044443.48507,2.04444348507,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
21,114.47895497440716,2101148.1307890387,4202296.261578077,15909404.150093682,29.430784857700704,63237.9045874848,0,66,100,-0.3366222381591797,0.6403462886810303,0.6848251819610596,0.6909664273262024,2100,0.09000874278732444,TD3,0,2101148.13079,2.10114813079,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
22,123.56912791901978,2173099.328144222,4346198.656288444,15513323.26405135,34.112592008161826,47535.428819609435,0,65,100,,0.8574320077896118,0.615455687046051,0.703963577747345,2200,0.08955869907338782,TD3,0,2173099.32814,2.17309932814,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
23,125.66128734673413,2300550.782914197,4601101.565828394,16048340.90671123,41.54886867115618,70260.7672340923,0,76,100,-0.3387925326824188,0.6420237421989441,0.5578880310058594,0.6908833980560303,2300,0.08911090557802087,TD3,0,2300550.78291,2.30055078291,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
24,131.14972779032533,2309563.503818701,4619127.007637402,15557202.107925242,44.35387976408209,49342.447348716974,0,72,100,,0.757860541343689,0.5451128482818604,0.7083274126052856,2400,0.08866535105013076,TD3,0,2309563.50382,2.30956350382,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
