episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,202.88775140586657,2275056.209537407,4550112.419074814,13314570.319286807,26.540652129520403,10848.875262981872,0,0,100,,,,,100,0.0995
2,181.64079627290496,2082387.2051425872,4164774.4102851744,13568811.986316817,20.328905915635026,12852.875820548441,0,0,100,,,,,200,0.09900250000000001
3,168.9395952369641,1960351.092178503,3920702.184357006,13211419.927691713,14.223502694170934,9993.259943542489,0,0,100,,,,,300,0.0985074875
4,137.22749235881298,1691399.2523060443,3382798.5046120887,15338536.348030968,9.467845661780235,43988.10995269042,0,0,100,,,,,400,0.09801495006250001
5,174.74574210326583,2045180.4748406657,4090360.9496813314,12905317.70525391,16.789133636435643,10247.810476563734,0,4,100,,,,,500,0.09752487531218751
6,160.08686129090336,1884112.6763009476,3768225.352601895,13637967.88154012,12.737668596044672,13656.232502706398,0,0,100,,,,,600,0.09703725093562657
7,112.16218554927468,1637237.8639675048,3274475.7279350096,14480076.659852225,8.78216838683659,23132.07943599237,0,20,100,,,,,700,0.09655206468094843
8,148.88871303890542,1788213.1076119402,3576426.2152238805,14200799.435915919,11.883927881023086,19106.240089746418,0,0,100,,,,,800,0.09606930435754368
9,143.93742584419678,1742826.4662887738,3485652.9325775476,14251149.1419615,10.240580326921418,19875.00730713686,0,0,100,,,,,900,0.09558895783575597
10,172.37232221148338,2006194.0476795316,4012388.0953590632,14371145.712460302,19.56607641438622,23224.658020076724,0,0,100,,4.049290180206299,0.7476481795310974,0.09983427822589874,1000,0.09511101304657718
11,191.46287289907994,2173304.017892324,4346608.035784648,13500900.448821083,35.071887958913145,12648.34663687268,0,0,100,-0.4160436689853668,2.6825098991394043,1.0028270483016968,0.4375890791416168,1100,0.09463545798134429
12,198.23883353701282,2235318.6507305834,4470637.301461167,13414281.203855453,49.703642916999385,11897.254284412777,0,0,100,,1.8877575397491455,1.325248122215271,0.8144076466560364,1200,0.09416228069143756
13,211.06931196741647,2355459.4953730227,4710918.9907460455,13415039.871684914,93.54200424987005,12343.336710704718,0,0,100,-0.5628408193588257,1.570081114768982,1.458777904510498,1.0838139057159424,1300,0.09369146928798038
14,266.2123045418886,3087427.006987242,6174854.013974484,12801333.278628042,391.8693960020989,9273.33768669865,0,24,100,,1.9797191619873047,1.4447420835494995,1.3380074501037598,1400,0.09322301194154048
15,269.43332904375507,3067834.9370027985,6135669.874005597,12660636.431311712,341.8005148412101,8218.315649696051,0,19,100,-0.7835121154785156,2.366039514541626,1.655566692352295,1.7598422765731812,1500,0.09275689688183278
16,299.0480670005593,3447169.2040967303,6894338.408193461,12579696.771561617,504.38826676512093,8089.09571595794,0,30,100,,2.823948383331299,1.5786991119384766,1.7796412706375122,1600,0.09229311239742362
17,291.659634003678,3367680.2358308895,6735360.471661779,12522225.972191872,470.0224862676643,7671.613562339819,0,29,100,-1.1532464027404785,3.1525115966796875,1.8081270456314087,2.1237316131591797,1700,0.0918316468354365
18,317.5450818216461,3691661.517038686,7383323.034077372,12327002.85924953,607.8666527575352,6797.3970372689855,0,38,100,,3.0378880500793457,1.800464391708374,2.0267350673675537,1800,0.09137248860125932
19,314.0247876601096,3621209.399763599,7242418.799527198,12353691.045584217,557.3104714472627,6717.657509587163,0,34,100,-1.5449044704437256,2.6416237354278564,1.8227630853652954,2.0228474140167236,1900,0.09091562615825302
20,338.4420789563422,3940586.3918859516,7881172.783771903,12124706.17194037,708.0416201548538,5937.302401440435,0,44,100,,2.546968460083008,1.838462233543396,1.9299020767211914,2000,0.09046104802746176
21,336.60753064974995,3905588.7409515725,7811177.481903145,12202791.05391964,684.6869786606625,6256.644703690639,0,42,100,-2.321335554122925,2.7738146781921387,2.307938575744629,2.357893466949463,2100,0.09000874278732444
22,353.7782766121421,4185209.8747452875,8370419.749490575,11975189.547012962,822.0573672704982,5299.855351001752,0,55,100,,2.555914878845215,1.9321067333221436,1.870427131652832,2200,0.08955869907338782
23,345.6194185728752,3999506.2561202426,7999012.512240485,12240564.891622841,696.3605406107631,6380.773580891944,0,43,100,-2.7403366565704346,2.2334775924682617,2.194498300552368,2.0613999366760254,2300,0.08911090557802087
24,357.22971022507056,4226892.956946857,8453785.913893715,11959565.748296097,847.0085963867081,5217.7539683130635,0,56,100,,2.1601386070251465,2.4983866214752197,2.3092074394226074,2400,0.08866535105013076
25,360.50594709522915,4247747.629066717,8495495.258133434,11969814.78567661,830.9923041739364,5290.030719303008,0,55,100,-3.0628185272216797,2.4533510208129883,2.28144907951355,2.1156883239746094,2500,0.08822202429488012
26,369.5744047156577,4405860.383859948,8811720.767719897,11809380.729475927,920.3464935801353,4540.9623617757425,0,63,100,,2.1534085273742676,2.314474105834961,2.1285245418548584,2600,0.08778091417340572
