ablation,mean_rate_bps,mean_rate_mbps,std_rate_bps,std_rate_mbps,delta_from_A0_bps,delta_from_A0_mbps,mean_reward,constraint_violation_count_mean,trajectory_length_mean
A0_full_td3,4639009.55188,4.63900955188,492723.209231,0.492723209231,0,0,370.834417058,86.1333333333,100
A1_isotropic_antenna,5746697.65075,5.74669765075,152852.396839,0.152852396839,1107688.09886,1.10768809886,497.105484204,74.3333333333,100
A2_no_balance_penalty,4481168.63543,4.48116863543,682054.330781,0.682054330781,-157840.916449,-0.157840916449,363.736575101,83.6,100
A3_no_energy_penalty,4629019.09948,4.62901909948,491423.984985,0.491423984985,-9990.45239632,-0.00999045239632,370.526464815,86.2666666667,100
A4_fixed_relay_height,4028995.93317,4.02899593317,600433.785386,0.600433785386,-610013.61871,-0.61001361871,318.145794441,73.5333333333,100
