algorithm,average_rate_e2e_mean,average_rate_e2e_std,average_reward_mean,average_reward_std,outage_count_mean,constraint_violation_count_mean,trajectory_length_mean
BalancedLinkPolicy,4814523.1677312,469924.83704822185,476.57380341924284,48.03353857151937,0.0,3.4,100.0
DDPG,4465209.035365841,746118.0914772456,356.6907026515488,69.4335287371152,0.0,82.33333333333333,100.0
GreedyRatePolicy,4640938.013381312,1113251.5579044875,452.2466976441128,115.54845707407623,0.0,6.8,100.0
HorizontalMidpointPolicy,3277603.839842035,706622.4513905947,307.3350315993113,78.84799624323156,0.0,2.0,100.0
MidpointPolicy,4642902.067375073,493709.47386263416,365.378298344947,51.08467250423758,0.0,94.0,100.0
RandomPolicy,3366255.738155246,860923.6800735083,318.8972247477779,92.76285826197024,0.0,0.0,100.0
SAC,4876508.428122938,183181.36841823737,404.30122679957327,19.997551417539768,0.0,79.4,100.0
StaticRelayPolicy,3213153.093793682,808139.6149258115,302.64068807121254,86.96264722119905,0.0,0.0,100.0
TD3,4639009.5518810665,492723.2092310403,370.83441705764926,52.85936250748773,0.0,86.13333333333334,100.0
