metric,mean,std,min,max
eval_average_rate_e2e,4543915.244093902,524516.7030751582,3802141.148780482,4917049.812321804
eval_average_rate_HR,9087830.488187805,1049033.4061503164,7604282.297560964,9834099.624643609
eval_average_rate_RL,12005017.957166018,1008871.1789679279,11077053.510227252,13407559.22115519
eval_average_snr_HR,941.9628088206238,501.40349546071855,232.88419605531192,1300.2221393236239
eval_average_snr_RL,5877.471352884265,3846.7582974412185,2741.734031979747,11295.234516970904
eval_outage_count,0.0,0.0,0.0,0.0
eval_constraint_violation_count,84.33333333333333,2.3570226039551585,81.0,86.0
eval_trajectory_length,100.0,0.0,100.0,100.0
