episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,151.24188918788224,1816059.335625048,3632118.671250096,14381373.487295875,11.438822332823676,22078.53160156814,0,0,100,,,,,100,
2,144.9536284696676,1756043.2140976468,3512086.4281952935,14147318.68957778,10.618909556600602,19043.594100137343,0,0,100,,,,,200,
3,143.6138737774075,1749142.5118081083,3498285.0236162166,14672437.301483564,10.333504858881733,27383.064174694275,0,0,100,,,,,300,
4,120.2525651770437,1664329.393968383,3328658.787936766,13832422.613929274,9.613272717331961,14990.648509106895,0,15,100,,,,,400,
5,139.3651978195697,1705230.355102438,3410460.710204876,14197040.069513435,9.672474874135972,19143.96282049825,0,0,100,,,,,500,
6,149.51851420392615,1797810.016258606,3595620.032517212,14174324.767539322,11.175881935709802,19613.84403284298,0,0,100,,,,,600,
7,150.32115244312507,1804613.7909266718,3609227.5818533436,14097399.66384964,11.282128402214816,18490.24319107574,0,0,100,,,,,700,
8,147.17592948473973,1778145.11495598,3556290.22991196,14304626.72545955,10.806313377476359,21502.23835458848,0,0,100,,,,,800,
9,139.80795721697515,1714352.077488692,3428704.154977384,14760069.678067777,9.806294916070863,29534.120671723802,0,0,100,,,,,900,
10,167.3472549232722,1959793.2890627228,3919586.5781254456,13958034.421180574,14.994778798317888,17710.360261754267,0,0,100,-1.8949167728424072,22.970399856567383,-0.7694400548934937,-0.08556531369686127,1000,
11,113.80903853947903,1590385.522112499,3180771.044224998,14403884.730700027,8.131341761087054,22492.92035598094,0,13,100,-2.2454566955566406,17.297771453857422,-0.2738858163356781,0.3340548872947693,1100,
12,180.81167865320973,2085821.4932166142,4171642.9864332285,14132687.284145858,32.10502870145597,18896.926198211873,0,0,100,-2.5884597301483154,12.52743911743164,0.16643568873405457,0.8224390745162964,1200,
13,147.07529389335292,1777334.1870535763,3554668.3741071527,14521183.175606633,10.779485246401507,24023.305317345912,0,0,100,-2.9710984230041504,9.90734577178955,0.6530640721321106,1.0884592533111572,1300,
14,229.9209052325097,2588182.3808936384,5176364.761787277,14021065.629420431,85.67877802025001,19235.9084096695,0,5,100,-3.2804808616638184,7.270198822021484,1.0742571353912354,1.5571376085281372,1400,
15,244.75089834322128,2801337.845886333,5602675.691772666,14758786.039353319,121.87558961301517,32420.941404447953,0,12,100,-3.705497980117798,5.665485382080078,1.5832034349441528,1.9039218425750732,1500,
16,132.186870243468,1651806.6744815626,3303613.348963125,14718128.701031337,8.909640939925398,27959.385328405373,0,1,100,-4.145045280456543,3.3154258728027344,2.0327985286712646,2.419252872467041,1600,
17,301.70970308910586,3404120.9615387665,6808241.923077533,12248980.928401377,398.635508845713,6495.089297339436,0,23,100,-4.503649711608887,3.0054030418395996,2.354027271270752,2.869460105895996,1700,
18,272.6376512278577,3066382.1710582697,6132764.342116539,15123339.866872206,159.81539381058045,44259.58409379253,0,12,100,-4.923469543457031,2.484699249267578,2.8123228549957275,2.921710968017578,1800,
19,202.83444046709278,2302039.4428975,4604078.885795,15112491.778452523,39.62165177785391,37381.17192276171,0,0,100,-5.222884178161621,2.8053269386291504,3.219399929046631,3.2116174697875977,1900,
20,272.30398123388153,2987878.255033696,5975756.510067392,15184206.760727996,114.28290507923305,46135.92794379272,0,4,100,-5.41212797164917,2.6355483531951904,3.5920188426971436,3.4543185234069824,2000,
21,222.3808079159912,2484602.320287568,4969204.640575136,14989743.602901945,92.78531085480947,37711.90662042626,0,0,100,-5.647088527679443,3.5814709663391113,3.781588315963745,3.6420295238494873,2100,
22,302.6184155978988,3303591.5545439515,6607183.109087903,13186468.150064018,272.07787965275975,11094.012409654137,0,10,100,-5.63142204284668,3.421232223510742,3.9564642906188965,3.7071759700775146,2200,
23,257.0940066192299,2885756.655833851,5771513.311667702,13693127.389546555,218.98801059605813,19639.263664647384,0,10,100,-5.724008083343506,3.551788806915283,4.031280517578125,3.7088754177093506,2300,
24,170.2692132604538,1998093.2717594309,3996186.5435188618,14990496.077928076,20.878640364610483,38293.38579586015,0,0,100,-5.695860862731934,3.4857356548309326,3.9963364601135254,3.7086386680603027,2400,
25,176.3709443159625,2056952.3095705213,4113904.6191410427,15230128.300030535,23.94133287500107,39685.68256299328,0,0,100,-5.590145111083984,3.6296226978302,4.166213035583496,3.862122058868408,2500,
26,252.59152937938376,2752416.245998037,5504832.491996074,13877603.607669456,117.16446744751438,16301.416821852266,0,0,100,-5.570345878601074,3.193232536315918,4.034694671630859,3.6449108123779297,2600,
27,205.05623205167717,2313989.8973281495,4627979.794656299,14412909.449743228,49.71423871004711,26756.90655628923,0,0,100,-5.439301490783691,2.4450154304504395,3.7709221839904785,3.559009075164795,2700,
28,304.8960396619851,3291089.1701027374,6582178.340205475,13416444.921683177,321.7942714117457,13845.983382467777,0,6,100,-5.4285502433776855,3.3473129272460938,3.760667324066162,3.4156150817871094,2800,
29,319.52603293650026,3597247.8086429103,7212713.337455633,12238054.416425893,426.5782880029376,8799.293470040835,0,26,100,-5.366393566131592,3.195258140563965,3.5896196365356445,3.3672213554382324,2900,
30,319.41785997547777,3362469.335320464,6724938.670640928,12917763.754389923,315.9026829809944,11886.146020355307,0,0,100,-5.484828948974609,3.11092209815979,3.440455198287964,3.338124990463257,3000,
31,244.23873684122918,2774649.834907451,5549299.669814902,15106586.475184744,132.68798306192912,45215.0404766515,0,9,100,-5.4506659507751465,2.795414447784424,3.289609432220459,3.2600324153900146,3100,
