policy,step,q_R_x,q_R_y,q_R_z,d_HR,d_RL,theta_HR,theta_RL,snr_HR,snr_RL,rate_HR,rate_RL,rate_e2e,reward,constraint_violation
balanced_link,1,500.0,500.0,230.0,770.0,326.9556544854363,1.5707963267948966,0.4089078289509254,11.159902832694641,20828.314787226267,3604059.795432869,14346327.760006722,1802029.8977164344,1.4938088382435828,0
balanced_link,2,500.0,500.0,260.0,740.0,340.0,1.5707963267948966,0.4899573262537283,12.17952146834102,16342.39612568565,3720226.083762577,13996420.183387315,1860113.0418812884,1.5610978227289256,0
balanced_link,3,500.0,500.0,290.0,710.0,355.10561809129405,1.5707963267948966,0.5645693936681,13.340485695126077,12481.542231255797,3842021.982112922,13607624.167188434,1921010.991056461,1.6321886353043786,0
balanced_link,4,500.0,500.0,320.0,680.0,372.0215047547655,1.5707963267948966,0.6327488350021832,14.669671904765638,9353.262854952933,3969903.0675298283,13191408.253744897,1984951.5337649141,1.70728018885483,0
balanced_link,5,500.0,500.0,350.0,650.0,390.51248379533274,1.5707963267948966,0.6947382761967033,16.200582274700764,6923.863596309849,4104385.4988033664,12757569.938370416,2052192.7494016832,1.786603753190417,0
balanced_link,6,500.0,500.0,380.0,620.0,410.3656905736638,1.5707963267948966,0.7509290623979403,17.975388759222163,5091.251472147934,4246057.538117382,12314087.9506929,2123028.769058691,1.8704309571304352,0
balanced_link,7,500.0,500.0,410.0,590.0,431.3930922024598,1.5707963267948966,0.8017901377054536,20.047747466944045,3734.8336424882973,4395593.93900299,11867214.497605601,2197796.969501495,1.9590820162778093,0
balanced_link,8,500.0,500.0,440.0,560.0,453.43136195018536,1.5707963267948966,0.8478169733934057,22.486732275274342,2742.289980453816,4553774.099076321,11421691.415506972,2276887.0495381607,2.052935024817465,0
balanced_link,9,500.0,500.0,470.0,530.0,476.34021455258215,1.5707963267948966,0.8894981015070477,25.382424061706118,2020.2172804396223,4721505.222825334,10981008.704134893,2360752.611412667,2.152437281700958,0
balanced_link,10,500.0,500.0,500.0,500.0,500.0,1.5707963267948966,0.9272952180016122,28.853998118144244,1495.7912624445983,4899852.248453352,10547657.32661061,2449926.124226676,2.258119793836883,0
balanced_link,11,530.0,500.0,500.0,500.89919145472777,482.59714048054616,1.5108681716736887,0.9770466600841254,28.740166594526283,1222.4458828103793,4894340.8237983305,10256734.572162086,2447170.4118991653,2.261206282019861,0
balanced_link,12,560.0,500.0,500.0,503.5871324805669,466.47615158762403,1.4513674007765582,1.0303768265243125,28.40376001030341,942.1117159960719,4877928.74659428,9881284.864776209,2438964.37329714,2.2604649592386785,0
balanced_link,13,590.0,500.0,500.0,508.0354318352215,451.7742799230607,1.392703388563699,1.0873493252276976,27.859492679686912,673.5407316063536,4850974.033838687,9397761.751572834,2425487.0169193437,2.2569364509530163,0
balanced_link,14,620.0,500.0,500.0,514.1984052872976,438.63424398922615,1.3352513460740334,1.1479424006619559,32.189518962123415,436.57042398138657,5052655.814511823,8773371.41735358,2526327.9072559113,2.3827731454127377,0
balanced_link,15,650.0,500.0,500.0,522.0153254455275,427.20018726587654,1.2793395323170296,1.2120256565243244,71.56964544382258,247.99912182015754,6181294.316315519,7959996.843923752,3090647.1581577593,3.018756771860878,0
balanced_link,16,680.0,500.0,500.0,531.4132102234569,417.612260356422,1.2252407462131845,1.2793395323170296,132.86465802044654,116.93133131405426,7064631.31078985,6881803.245890858,3440901.622945429,3.4253469704227375,0
balanced_link,17,680.0,470.0,500.0,532.2593352868506,418.68842830916645,1.2208516936715452,1.2708906334004206,138.97096908862662,129.91488754971456,7128983.823409599,7032485.358661051,3516242.6793305255,3.503835601169782,0
balanced_link,18,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,2.612643767418543,1
balanced_link,19,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,20,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,21,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,22,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,23,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,24,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,25,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,26,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,27,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,28,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,29,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,30,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,31,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,32,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,33,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,34,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,35,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,36,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,37,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,38,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,39,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,40,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,41,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,42,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,43,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,44,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,45,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,46,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,47,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,48,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,49,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,50,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,51,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,52,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,53,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
balanced_link,54,680.0,448.7867965644036,500.0,533.8752590316728,420.7407660378725,1.2126504179562065,1.2554988324424374,150.86024369382537,156.01671055545964,7246600.418186783,7294774.296360309,3623300.2090933914,3.621643767418543,0
