policy,episode_length,total_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,final_q_R_x,final_q_R_y,final_q_R_z
random,100,146.65591691398558,1833743.3394669043,3667486.6789338086,14756943.292438611,12.472172584749705,29396.47130953786,0,6,100,623.4154200281207,217.08064061188048,64.72590057615025
static,100,143.9146712067716,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,0,0,100,500.0,500.0,200.0
midpoint,100,195.02430044495387,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,0,94,100,650.0,500.0,500.0
horizontal_midpoint,100,140.22417994881758,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,0,0,100,650.0,500.0,200.0
greedy_rate,100,222.51476575740514,2415220.409179593,4830440.818359186,10743201.695922036,27.791562854899013,2156.349768534186,0,0,100,500.0,500.0,500.0
balanced_link,100,337.1707371889025,3416483.4826211524,6835760.23053878,7906807.148494948,131.64294892243961,977.3266430458602,0,1,100,680.0,448.7867965644036,500.0
