episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise
1,594.2881459945394,5979140.377175918,11958280.754351836,13525155.503579115,4011.2697599055327,12940.29930236185,0,0,100,,,,,100,0.0995
2,597.2560931261257,6012395.612516074,12024791.225032149,13811527.79283809,4174.588609283667,15282.595190110393,0,0,100,,,,,200,0.09900250000000001
3,619.311910839275,6232817.872670753,12465635.745341506,14301345.059587684,5689.401077668373,20563.476830509262,0,0,100,,,,,300,0.0985074875
4,586.6757119982137,5940527.908300132,11881055.816600263,15628958.907063866,3787.138264712094,52656.94881203632,0,0,100,,,,,400,0.09801495006250001
5,624.2775293669113,6317471.937006568,12643336.437839549,14167961.887470143,6715.653454574257,19941.81605771979,0,4,100,,,,,500,0.09752487531218751
6,610.5353086957676,6150712.415733038,12301424.831466077,14438328.831904948,5095.067438417868,23266.35236246091,0,0,100,,,,,600,0.09703725093562657
7,562.0084992552431,5879664.986113846,11759329.972227693,14632123.823212387,3512.867354734636,25774.133156619002,0,20,100,,,,,700,0.09655206468094843
8,588.0933501889563,5934747.948261891,11869495.896523781,14386942.944419896,3766.505950255049,21948.871905633612,0,0,100,,,,,800,0.09606930435754368
9,594.3973906130989,5997215.7403294025,11994431.480658805,14531813.736698527,4096.232130768567,24341.20429134103,0,0,100,,,,,900,0.09558895783575597
10,595.1750759572944,6009245.9492219975,12018491.898443995,14837708.456486529,4179.329423546503,32045.746669389508,0,0,100,,63.01164245605469,0.7477797865867615,0.09573829919099808,1000,0.09511101304657718
11,617.854154588514,6214134.587854291,12428269.175708583,14314462.955525357,5597.965975653275,21031.38251577429,0,0,100,-0.4745953381061554,57.787147521972656,1.0061912536621094,0.44340136647224426,1100,0.09463545798134429
12,618.6022357903228,6221952.5336692985,12443905.067338597,14348316.778462054,5616.020313117746,22034.59090794862,0,0,100,,49.913665771484375,1.4274163246154785,0.8194889426231384,1200,0.09416228069143756
13,613.2961337079803,6172061.674649799,12344123.349299598,14419403.922855558,5232.59487074462,22429.415044440535,0,0,100,-0.9456568956375122,44.41802978515625,1.751535177230835,1.0836336612701416,1300,0.09369146928798038
14,608.5774679746193,6196507.834422934,12393015.668845868,13990920.662399165,5412.039131178503,18249.948317851355,0,8,100,,41.42499923706055,1.9373016357421875,1.318453073501587,1400,0.09322301194154048
15,601.1609689320636,6264764.649282876,12529529.298565753,13712664.393366266,6005.143220548858,15782.732251886247,0,23,100,-1.712815761566162,33.04933166503906,2.572969436645508,1.7753376960754395,1500,0.09275689688183278
16,600.0095852108548,6186859.688738156,12373719.377476312,13745625.980632873,5330.211641453589,15754.610508551805,0,16,100,,32.71308135986328,2.6324689388275146,1.8657543659210205,1600,0.09229311239742362
17,593.6864112221775,6222079.808123521,12444159.616247041,13732035.642710919,5608.400985678297,16067.246607332954,0,26,100,-2.5506184101104736,25.742374420166016,3.1609888076782227,2.372042655944824,1700,0.0918316468354365
